,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,GPA,Family income source,Class Label,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day
21,13-15 years,male,Bangla,Public sector,Home maker,Three Children,primary,secondary,6-7 km,Walk,Paraffin,Teaching facilities,None,Mediam,2.35,Formal Wage,Yes,21,43,54,35,54,38,84,300000,Yes,1 hours
22,10-13 years,male,Native Language,Worker,Home maker,Three Children,primary,primary,0-0.5 km,Walk,Electricity,Teaching facilities,None,High,3.19,Casual Wage,No,59,58,92,89,66,24,59,600000,Yes,3 hours
23,13-15 years,male,Bangla,Business,Business,None,primary,Honors/Equivalent ,1-2 km,Private car,Paraffin,Teaching facilities,None,Low,2.36,Own business,Yes,53,65,58,33,41,51,29,300000,Yes,1 hours
24,13-15 years,female,Bangla,Business,Home maker,None,Masters/ Equivalent and above,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,None,High,2.64,Own business,No,54,74,27,86,42,21,65,100000,No,2 hours
25,10-13 years,male,Native Language,Immigrant,Worker,None,secondary,secondary,>7 km,Walk,Other,Teaching facilities,None,Mediam,2.72,Remittance,No,20,56,49,92,54,68,42,100000,No,2 hours
26,13-15 years,female,Bangla,Business,Home maker,None,primary,primary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,2.74,Own business,No,62,38,51,68,80,33,51,200000,Yes,2 hours
27,15-18 years,female,Native Language,Business,Freelancer,Three Children,primary,primary,0-0.5 km,Walk,Electricity,Toilet,Once,High,3.28,Own business,No,65,70,64,66,22,87,85,850000,Yes,3 hours
28,above 18 years,male,Native Language,Worker,Home maker,Three Children,secondary,primary,6-7 km,Private car,Electricity,Teaching facilities,None,High,2.58,Casual Wage,Yes,88,79,82,31,23,24,34,800000,Yes,2 hours
29,13-15 years,male,Native Language,Immigrant,Home maker,Three Children,Honors/ Equivalent ,Honors/Equivalent ,4-5 km,School Bus/Bus,Other,Water,Once,High,2.83,Remittance,No,26,75,48,88,78,40,41,650000,Yes,2 hours
30,15-18 years,male,Native Language,Agriculture,Home maker,Three Children,secondary,secondary,1-2 km,Rickshaw,Electricity,Water,None,High,2.41,Farming,Yes,23,43,24,67,35,62,83,200000,Yes,1 hours
31,13-15 years,female,Bangla,Business,Home maker,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,2.74,Own business,No,43,52,63,22,52,78,73,450000,Yes,2 hours
32,13-15 years,male,Native Language,Business,Home maker,Two Children,secondary,Honors/Equivalent ,2-3 km,School Bus/Bus,Other,Toilet,Once,Low,2.16,Own business,Yes,56,56,85,27,29,20,30,200000,Yes,1 hours
33,13-15 years,female,Bangla,Business,Worker,Three Children,secondary,None,0.5-1 km,Walk,Electricity,Teaching facilities,None,Low,2.61,Own business,No,78,53,59,42,31,31,71,600000,Yes,2 hours
34,13-15 years,male,Bangla,Private sector,Home maker,Three Children,primary,secondary,6-7 km,School Bus/Bus,Paraffin,Teaching facilities,None,High,2.89,Casual Wage,No,39,76,76,42,71,39,61,500000,Yes,2 hours
35,10-13 years,female,Bangla,Freelancer ,Home maker,Three Children,Honors/ Equivalent ,secondary,2-3 km,School Bus/Bus,Electricity,Toilet,None,High,2.78,Own business,No,61,34,87,43,22,85,57,650000,Yes,2 hours
36,10-13 years,female,Native Language,Business,Agriculture,None,secondary,secondary,2-3 km,Walk,Paraffin,Water,Once,Mediam,3.38,Own business,No,62,37,85,85,38,84,82,400000,Yes,3 hours
37,13-15 years,male,Bangla,Private sector,Freelancer,Three Children,Honors/ Equivalent ,primary,0.5-1 km,School Bus/Bus,Paraffin,Teaching facilities,Once,Mediam,2.37,Casual Wage,Yes,20,34,37,80,56,27,78,180000,No,1 hours
38,15-18 years,female,Bangla,Public sector,Home maker,Three Children,secondary,secondary,0-0.5 km,Rickshaw,Electricity,Toilet,None,Mediam,1.88,Formal Wage,Yes,28,44,34,84,26,25,22,100000,No,0 to 30 minutes
39,13-15 years,female,Bangla,Freelancer ,Public sector,Three Children,Honors/ Equivalent ,secondary,1-2 km,Private car,Electricity,Teaching facilities,Once,High,2.92,Own business,No,32,30,63,71,50,85,78,200000,Yes,2 hours
40,13-15 years,male,English,Public sector,Worker,Two Children,primary,secondary,0-0.5 km,Walk,Other,Teaching facilities,Once,High,2.29,Formal Wage,Yes,22,70,20,79,40,69,20,180000,No,1 hours
41,10-13 years,male,Bangla,Immigrant,Home maker,Three Children,primary,secondary,2-3 km,Bicycle/motorbike,Other,Toilet,None,Low,2.41,Remittance,Yes,20,62,36,74,56,70,20,300000,Yes,1 hours
42,13-15 years,male,Native Language,Business,Agriculture,None,primary,None,0-0.5 km,Rickshaw,Electricity,Water,None,High,3.16,Own business,No,52,31,73,74,81,82,49,600000,Yes,3 hours
43,13-15 years,female,Native Language,Business,Home maker,Two Children,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,High,2.66,Own business,No,32,59,73,41,30,69,69,250000,Yes,2 hours
44,10-13 years,male,Native Language,Freelancer ,Agriculture,Three Children,primary,Honors/Equivalent ,0-0.5 km,Walk,Electricity,Toilet,None,Low,2.5,Own business,Yes,82,64,65,37,56,22,24,400000,Yes,2 hours
45,13-15 years,male,Bangla,Freelancer ,Public sector,Three Children,secondary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Paraffin,Teaching facilities,Once,High,2.99,Own business,No,66,53,73,86,53,51,36,250000,Yes,2 hours
46,13-15 years,female,Native Language,Freelancer ,Agriculture,Four or more,Honors/ Equivalent ,secondary,1-2 km,Bicycle/motorbike,Other,Toilet,None,High,2.23,Own business,Yes,40,44,59,31,61,49,28,300000,Yes,1 hours
47,15-18 years,female,Native Language,Worker,Home maker,Three Children,secondary,secondary,4-5 km,Walk,Electricity,Teaching facilities,Once,Mediam,2.91,Casual Wage,No,76,65,83,26,67,62,28,400000,Yes,2 hours
48,10-13 years,female,Native Language,Worker,Agriculture,Two Children,primary,Honors/Equivalent ,2-3 km,School Bus/Bus,Electricity,Toilet,None,Low,2.81,Casual Wage,No,26,33,91,64,44,47,88,850000,Yes,2 hours
49,15-18 years,female,Bangla,Unemployed,Public sector,Three Children,primary,secondary,0-0.5 km,Walk,Electricity,Toilet,None,High,2.64,Pansion,No,41,21,89,85,47,56,30,100000,No,2 hours
50,10-13 years,female,Bangla,Business,Business,Three Children,secondary,Honors/Equivalent ,0.5-1 km,Rickshaw,Electricity,Water,None,High,2.74,Own business,No,83,38,49,49,57,20,88,900000,Yes,2 hours
51,13-15 years,male,Native Language,Unemployed,Home maker,Two Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Other,Toilet,Once,High,2.57,Pansion,Yes,65,25,86,82,27,41,34,500000,Yes,2 hours
52,10-13 years,male,Native Language,Business,Agriculture,Two Children,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,Mediam,3.01,Own business,No,82,42,87,21,45,66,78,150000,No,3 hours
53,13-15 years,female,Bangla,Public sector,Public sector,Three Children,Honors/ Equivalent ,None,0-0.5 km,Private car,Electricity,Teaching facilities,Once,High,3.03,Formal Wage,No,58,42,89,46,52,89,48,300000,Yes,3 hours
54,10-13 years,male,Native Language,Private sector,Home maker,Three Children,None,secondary,0.5-1 km,Walk,Other,Teaching facilities,None,High,3.08,Casual Wage,No,84,77,58,54,32,35,91,550000,Yes,3 hours
55,15-18 years,female,Native Language,Freelancer ,Home maker,Two Children,secondary,secondary,0.5-1 km,Walk,Electricity,Water,Once,Low,3.19,Own business,No,62,34,65,91,31,92,71,550000,Yes,3 hours
56,13-15 years,male,Native Language,Immigrant,Business,Two Children,primary,primary,0-0.5 km,Walk,Electricity,Toilet,Once,Mediam,2.44,Remittance,Yes,48,77,68,57,26,33,33,150000,No,1 hours
57,10-13 years,male,Native Language,Agriculture,Private sector,Three Children,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Other,Water,Once,Mediam,2.99,Farming,No,49,21,72,62,36,90,89,550000,Yes,2 hours
58,13-15 years,male,Bangla,Private sector,Home maker,Two Children,Masters/ Equivalent and above,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.84,Casual Wage,No,64,52,29,87,66,55,44,200000,Yes,2 hours
59,13-15 years,female,Bangla,Worker,Home maker,Two Children,primary,secondary,1-2 km,School Bus/Bus,Electricity,Water,None,Mediam,2.46,Casual Wage,Yes,29,53,58,46,63,43,53,300000,Yes,1 hours
60,13-15 years,female,Native Language,Immigrant,Home maker,None,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Toilet,None,High,2.98,Remittance,No,29,76,87,73,26,74,52,300000,Yes,2 hours
61,10-13 years,male,Bangla,Freelancer ,Home maker,Two Children,secondary,primary,0.5-1 km,Bicycle/motorbike,Electricity,Water,None,Low,2.96,Own business,No,37,47,26,81,76,65,82,700000,Yes,2 hours
62,13-15 years,female,Bangla,Unemployed,Home maker,Two Children,primary,secondary,0-0.5 km,Rickshaw,Electricity,Toilet,None,High,2.68,Pansion,No,74,47,31,30,60,64,69,250000,Yes,2 hours
63,13-15 years,female,Bangla,Business,Home maker,Four or more,secondary,primary,6-7 km,School Bus/Bus,Other,Toilet,None,Low,2.41,Own business,Yes,59,52,48,41,20,71,46,100000,No,1 hours
64,13-15 years,female,Native Language,Business,Home maker,Two Children,primary,Honors/Equivalent ,0.5-1 km,Walk,Other,Teaching facilities,None,Low,3.82,Own business,No,85,89,49,74,85,68,85,150000,No,above 3 hours
65,15-18 years,female,Native Language,Immigrant,Home maker,None,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,2.22,Remittance,Yes,76,26,71,42,41,35,20,100000,No,1 hours
66,13-15 years,female,Bangla,Public sector,Worker,Two Children,primary,primary,0-0.5 km,Walk,Electricity,Water,None,High,2.72,Formal Wage,No,69,32,74,77,53,24,52,250000,Yes,2 hours
67,10-13 years,female,Native Language,Private sector,Home maker,Three Children,None,primary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,3.51,Casual Wage,No,84,72,47,67,54,77,91,900000,Yes,above 3 hours
68,10-13 years,female,Native Language,Freelancer ,Home maker,Two Children,secondary,secondary,2-3 km,Bicycle/motorbike,Other,Teaching facilities,Once,High,3.08,Own business,No,86,47,49,25,78,68,78,300000,Yes,3 hours
69,10-13 years,female,Bangla,Private sector,Agriculture,Two Children,Honors/ Equivalent ,secondary,4-5 km,Walk,Electricity,Teaching facilities,None,High,3.16,Casual Wage,No,68,42,78,71,59,82,43,100000,No,3 hours
70,13-15 years,female,Native Language,Public sector,Home maker,None,secondary,secondary,0.5-1 km,Walk,Paraffin,Teaching facilities,Once,Mediam,3.25,Formal Wage,No,90,38,42,76,66,84,59,800000,Yes,3 hours
71,10-13 years,male,Native Language,Freelancer ,Home maker,Four or more,secondary,secondary,2-3 km,Rickshaw,Paraffin,Teaching facilities,None,High,3.02,Own business,No,86,28,28,77,52,60,92,200000,Yes,3 hours
72,10-13 years,female,Bangla,Freelancer ,Home maker,Three Children,secondary,secondary,1-2 km,Bicycle/motorbike,Other,Toilet,None,High,2.25,Own business,Yes,46,45,21,63,29,66,45,100000,No,1 hours
73,15-18 years,female,English,Private sector,Public sector,Three Children,Honors/ Equivalent ,secondary,1-2 km,Rickshaw,Paraffin,Teaching facilities,Once,Low,3.61,Casual Wage,No,77,35,86,77,92,57,81,700000,Yes,above 3 hours
74,15-18 years,male,Native Language,Agriculture,Public sector,Four or more,primary,secondary,2-3 km,School Bus/Bus,Paraffin,Teaching facilities,Once,Low,3.01,Farming,No,78,53,21,61,86,62,61,750000,Yes,3 hours
75,15-18 years,male,Native Language,Public sector,Home maker,Three Children,primary,secondary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Low,2.74,Formal Wage,No,74,38,83,49,24,69,47,150000,No,2 hours
76,13-15 years,male,Native Language,Worker,Agriculture,None,secondary,secondary,2-3 km,School Bus/Bus,Other,Teaching facilities,None,Low,2.1,Casual Wage,Yes,55,28,48,27,51,32,53,150000,No,1 hours
77,15-18 years,male,Native Language,Worker,Home maker,Two Children,primary,None,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,Once,High,2.68,Casual Wage,No,34,28,63,91,84,42,33,850000,Yes,2 hours
78,13-15 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,Honors/Equivalent ,1-2 km,Bicycle/motorbike,Electricity,Toilet,None,High,2.49,Own business,Yes,74,41,44,61,68,23,38,180000,No,1 hours
79,13-15 years,male,Native Language,Private sector,Freelancer,Three Children,Masters/ Equivalent and above,secondary,2-3 km,Walk,Other,Teaching facilities,None,High,3.04,Casual Wage,No,27,73,26,91,49,87,72,200000,Yes,3 hours
80,13-15 years,female,Bangla,Agriculture,Private sector,None,primary,Masters/Equivalent and above,1-2 km,Walk,Electricity,Toilet,Once,High,2.69,Farming,No,57,35,85,54,22,86,38,250000,Yes,2 hours
81,13-15 years,female,Native Language,Unemployed,Home maker,None,primary,secondary,0-0.5 km,Rickshaw,Other,Toilet,Once,Low,2.39,Pansion,Yes,26,74,32,63,30,87,22,150000,No,1 hours
82,13-15 years,male,Bangla,Worker,Home maker,None,primary,secondary,2-3 km,School Bus/Bus,Electricity,Water,Once,Mediam,2.37,Casual Wage,Yes,75,72,23,39,43,22,58,100000,No,1 hours
83,13-15 years,female,Native Language,Unemployed,Business,Three Children,primary,None,4-5 km,Walk,Other,Toilet,None,High,3.41,Pansion,No,51,86,59,79,73,40,89,550000,Yes,3 hours
84,10-13 years,male,Bangla,Worker,Business,Two Children,Honors/ Equivalent ,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.72,Casual Wage,No,75,58,33,30,49,70,66,300000,Yes,2 hours
85,13-15 years,male,Bangla,Public sector,Home maker,Four or more,secondary,secondary,0-0.5 km,Walk,Other,Teaching facilities,None,Low,3.04,Formal Wage,No,65,84,92,50,38,61,36,500000,Yes,3 hours
86,13-15 years,female,Bangla,Worker,Public sector,Four or more,Honors/ Equivalent ,None,4-5 km,Walk,Electricity,Toilet,None,High,2.43,Casual Wage,Yes,64,59,21,37,76,58,25,150000,No,1 hours
87,10-13 years,male,Bangla,Agriculture,Home maker,Two Children,Honors/ Equivalent ,secondary,1-2 km,School Bus/Bus,Electricity,Water,None,High,3.45,Farming,No,53,67,76,92,75,63,57,400000,Yes,3 hours
88,13-15 years,male,Native Language,Public sector,Immigrant,Three Children,secondary,secondary,0.5-1 km,Bicycle/motorbike,Other,Water,Once,High,3.18,Formal Wage,No,53,89,68,91,22,89,33,250000,Yes,3 hours
89,13-15 years,female,Native Language,Worker,Home maker,Two Children,secondary,secondary,2-3 km,Rickshaw,Electricity,Toilet,Once,Mediam,2.97,Casual Wage,No,66,70,48,88,57,40,47,850000,Yes,2 hours
90,13-15 years,female,Native Language,Agriculture,Home maker,Three Children,primary,secondary,6-7 km,Walk,Paraffin,Teaching facilities,None,Mediam,3.71,Farming,No,76,82,50,89,68,67,87,650000,Yes,above 3 hours
91,15-18 years,female,Bangla,Worker,Home maker,Two Children,secondary,secondary,4-5 km,Bicycle/motorbike,Other,Toilet,None,Mediam,2.01,Casual Wage,Yes,66,24,68,24,46,26,27,300000,Yes,1 hours
92,13-15 years,female,Native Language,Immigrant,Immigrant,None,secondary,Honors/Equivalent ,2-3 km,Rickshaw,Electricity,Teaching facilities,Once,Low,2.71,Remittance,No,47,35,60,56,77,34,71,100000,No,2 hours
93,13-15 years,male,Native Language,Immigrant,Home maker,Four or more,primary,secondary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,Once,High,2.59,Remittance,Yes,57,81,60,44,43,50,27,850000,Yes,2 hours
94,10-13 years,male,Native Language,Business,Immigrant,Two Children,secondary,None,0-0.5 km,School Bus/Bus,Paraffin,Toilet,None,Mediam,2.89,Own business,No,39,66,74,56,46,55,69,650000,Yes,2 hours
95,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,primary,0-0.5 km,School Bus/Bus,Electricity,Water,Once,Mediam,2.89,Remittance,No,80,57,91,52,47,46,31,900000,Yes,2 hours
96,10-13 years,male,Native Language,Worker,Home maker,Three Children,primary,secondary,>7 km,Rickshaw,Electricity,Teaching facilities,Once,High,3.3,Casual Wage,No,91,79,82,61,76,50,23,350000,Yes,3 hours
97,13-15 years,male,Native Language,Unemployed,Home maker,None,primary,primary,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,High,2.66,Pansion,No,30,65,63,62,37,30,85,750000,Yes,2 hours
98,15-18 years,female,Native Language,Public sector,Home maker,Two Children,secondary,secondary,1-2 km,Rickshaw,Electricity,Toilet,Once,Mediam,2.78,Formal Wage,No,22,76,36,52,62,54,87,750000,Yes,2 hours
99,15-18 years,female,English,Unemployed,Home maker,Two Children,secondary,secondary,4-5 km,Walk,Electricity,Toilet,Once,Low,2.81,Pansion,No,72,33,35,56,58,82,57,650000,Yes,2 hours
100,15-18 years,male,Native Language,Private sector,Worker,Two Children,Masters/ Equivalent and above,primary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,3.12,Casual Wage,No,70,58,22,31,77,90,89,800000,Yes,3 hours
101,13-15 years,female,Native Language,Private sector,Freelancer,Two Children,Honors/ Equivalent ,None,2-3 km,School Bus/Bus,Electricity,Water,None,Low,2.69,Casual Wage,No,24,68,69,47,20,91,57,850000,Yes,2 hours
102,13-15 years,female,Bangla,Agriculture,Home maker,Three Children,secondary,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,2.47,Farming,Yes,69,66,74,41,40,29,27,200000,Yes,1 hours
103,13-15 years,male,Native Language,Freelancer ,Worker,None,secondary,None,1-2 km,Walk,Electricity,Teaching facilities,Once,High,3.06,Own business,No,89,74,57,69,43,31,65,900000,Yes,3 hours
104,15-18 years,female,Bangla,Business,Home maker,None,secondary,None,2-3 km,Walk,Electricity,Toilet,None,Mediam,2.06,Own business,Yes,20,68,64,22,61,20,33,150000,No,1 hours
105,10-13 years,male,Native Language,Agriculture,Home maker,Three Children,secondary,secondary,2-3 km,Walk,Electricity,Water,Once,Mediam,3.07,Farming,No,40,63,46,92,81,24,84,800000,Yes,3 hours
106,13-15 years,male,English,Immigrant,Home maker,Three Children,Masters/ Equivalent and above,primary,6-7 km,Walk,Electricity,Teaching facilities,None,High,3.22,Remittance,No,81,75,59,80,65,71,20,300000,Yes,3 hours
107,13-15 years,female,Native Language,Public sector,Home maker,Three Children,secondary,primary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,Once,High,3.19,Formal Wage,No,82,42,47,49,83,62,81,300000,Yes,3 hours
108,10-13 years,male,Native Language,Business,Home maker,None,Masters/ Equivalent and above,secondary,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,2.87,Own business,No,39,76,23,87,43,73,61,350000,Yes,2 hours
109,13-15 years,male,Native Language,Agriculture,Freelancer,None,secondary,secondary,1-2 km,Rickshaw,Electricity,Teaching facilities,None,Low,2.68,Farming,No,24,33,55,40,84,78,61,600000,Yes,2 hours
110,13-15 years,male,Native Language,Immigrant,Home maker,Two Children,primary,Honors/Equivalent ,1-2 km,Walk,Electricity,Teaching facilities,None,High,2.5,Remittance,Yes,35,39,85,20,48,84,39,250000,Yes,2 hours
111,10-13 years,male,Native Language,Private sector,Home maker,Three Children,secondary,secondary,4-5 km,Rickshaw,Paraffin,Teaching facilities,None,Low,2.91,Casual Wage,No,39,72,84,29,22,79,82,700000,Yes,2 hours
112,13-15 years,female,Native Language,Unemployed,Business,Three Children,primary,secondary,0.5-1 km,Walk,Other,Teaching facilities,None,High,2.42,Pansion,Yes,49,22,77,28,55,53,55,150000,No,1 hours
113,13-15 years,male,Bangla,Freelancer ,Worker,Four or more,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Electricity,Once,High,2.41,Own business,Yes,83,55,62,26,25,52,35,100000,No,1 hours
114,13-15 years,female,Native Language,Agriculture,Home maker,Three Children,None,secondary,6-7 km,Private car,Electricity,Water,None,Low,2.82,Farming,No,73,82,25,59,72,46,38,300000,Yes,2 hours
115,13-15 years,male,Native Language,Public sector,Immigrant,None,Masters/ Equivalent and above,secondary,0.5-1 km,Walk,Other,Electricity,None,Low,3.24,Formal Wage,No,77,76,78,51,65,36,71,400000,Yes,3 hours
116,10-13 years,female,Native Language,Business,Home maker,Two Children,primary,secondary,0.5-1 km,Rickshaw,Other,Water,None,Mediam,3.05,Own business,No,87,59,62,39,48,76,56,150000,No,3 hours
117,10-13 years,female,Bangla,Freelancer ,Home maker,Three Children,Honors/ Equivalent ,secondary,4-5 km,Rickshaw,Other,Water,None,Mediam,3.56,Own business,No,91,76,90,76,57,68,40,250000,Yes,above 3 hours
118,10-13 years,male,Bangla,Business,Home maker,Three Children,Masters/ Equivalent and above,primary,0.5-1 km,School Bus/Bus,Electricity,Water,Once,Mediam,3.0,Own business,No,34,54,80,47,66,85,54,150000,No,3 hours
119,10-13 years,female,Native Language,Business,Public sector,Four or more,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Water,Once,High,2.89,Own business,No,48,89,41,38,39,58,91,300000,Yes,2 hours
120,15-18 years,male,Native Language,Worker,Home maker,None,Honors/ Equivalent ,primary,0-0.5 km,School Bus/Bus,Electricity,Toilet,Once,High,3.11,Casual Wage,No,71,55,48,37,89,48,87,200000,Yes,3 hours
121,10-13 years,male,Native Language,Agriculture,Public sector,None,Honors/ Equivalent ,primary,0-0.5 km,School Bus/Bus,Paraffin,Water,Once,High,2.84,Farming,No,67,80,26,62,26,73,63,650000,Yes,2 hours
122,10-13 years,female,Native Language,Private sector,Worker,Two Children,secondary,primary,0.5-1 km,Walk,Electricity,Toilet,Once,High,2.79,Casual Wage,No,48,53,53,64,69,59,44,250000,Yes,2 hours
123,above 18 years,male,Native Language,Immigrant,Home maker,None,secondary,secondary,1-2 km,School Bus/Bus,Other,Toilet,None,Low,1.89,Remittance,Yes,33,84,21,31,25,36,35,300000,Yes,0 to 30 minutes
124,10-13 years,male,Native Language,Worker,Home maker,None,primary,secondary,1-2 km,Bicycle/motorbike,Other,Toilet,None,Mediam,2.04,Casual Wage,Yes,23,22,37,50,31,80,43,300000,Yes,1 hours
125,15-18 years,male,Native Language,Private sector,Home maker,Four or more,secondary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,None,High,2.46,Casual Wage,Yes,30,21,21,84,36,78,74,180000,No,1 hours
126,15-18 years,female,Native Language,Worker,Agriculture,Three Children,Masters/ Equivalent and above,Honors/Equivalent ,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,3.11,Casual Wage,No,84,67,42,24,88,39,92,500000,Yes,3 hours
127,13-15 years,male,Bangla,Freelancer ,Home maker,Four or more,primary,None,1-2 km,Private car,Other,Toilet,None,Low,2.8,Own business,No,73,88,40,82,21,45,43,750000,Yes,2 hours
